OB(O)c1ccc2c(c1)OCCO2 ZINC000169746978
OB(O)c1cccc2c1OCCO2 ZINC000169746981
COc1ccc(B(O)O)c(OC)c1OC ZINC000169746998
COc1cc(B2OC(C)(C)C(C)(C)O2)ccc1OC(C)=O ZINC000169747040
COc1cncc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169747076
CC1(C)OB(c2cncc(OCc3ccccc3)c2)OC1(C)C ZINC000169747137
COc1cccc(B(O)O)c1Cl ZINC000169747161
COc1cc(B2OC(C)(C)C(C)(C)O2)ccn1 ZINC000169747165
CC1(C)OB(c2cnc(N)c(OCc3ccccc3)c2)OC1(C)C ZINC000169747180
COc1cc(B2OC(C)(C)C(C)(C)O2)cnc1N ZINC000169747189
COc1cc(B2OC(C)(C)C(C)(C)O2)ccc1F ZINC000169747196
CC1(C)OB(c2cccc(O[C@@H]3CCCCO3)c2)OC1(C)C ZINC000169747243
CC1(C)OB(c2cccc(O[C@H]3CCCCO3)c2)OC1(C)C ZINC000169747244
CC1(C)OB(c2cccc(OCc3ccccc3)c2F)OC1(C)C ZINC000169747252
CC1(C)OB(c2ccc3c(c2)OCC3)OC1(C)C ZINC000169747259
OB(O)c1ccc2c(c1)OCC2 ZINC000169747286
CCCOc1cccc(B(O)O)c1 ZINC000169747290
COc1ccc(B2OC(C)(C)C(C)(C)O2)cc1OC ZINC000169747390
OB(O)c1cccc(OC(F)F)c1 ZINC000169747391
COc1cc(B(O)O)ccc1C#N ZINC000169747418
CCCCOc1cc(Br)cc(B(O)O)c1 ZINC000169747452
CC1(C)OB(c2cccc(OCCBr)c2)OC1(C)C ZINC000169747458
OB(O)c1cccc(OC2CCCC2)c1 ZINC000169747473
CCNC(=O)Nc1ccc(B2OC(C)(C)C(C)(C)O2)cc1OC ZINC000169747483
CCOC(=O)COc1cccc(B(O)O)c1 ZINC000169747487
CC1(C)OB(c2ccc3c(c2)OCCN3)OC1(C)C ZINC000169747507
CC1(C)OB(c2ccc3c(c2)OCO3)OC1(C)C ZINC000169747554
COc1cc(B(O)O)cc(OC)c1C=O ZINC000169747594
CCCCOc1cccc(B(O)O)c1 ZINC000169747600
COc1cc(B(O)O)ccc1C(=O)O ZINC000169747847
Cc1ccc(B(O)O)cc1OCc1ccccc1 ZINC000169747887
COCOc1cccc(B(O)O)c1 ZINC000169747895
CCOc1cc(B(O)O)ccc1F ZINC000169747906
OB(O)c1ccc(F)c(OCc2ccccc2)c1 ZINC000169747910
CCOc1cccc(B(O)O)c1F ZINC000169747918
COc1cc(C)cc(B(O)O)c1 ZINC000169747926
CC1(C)OB(c2cccc(OCc3ccccc3)c2)OC1(C)C ZINC000169747928
CCOC(=O)c1ccc(B(O)O)cc1OC ZINC000169747935
OB(O)c1cccc2c1OCO2 ZINC000169747939
OB(O)c1cccc(O[C@@H]2CCCCO2)c1 ZINC000169747955
OB(O)c1cccc(O[C@H]2CCCCO2)c1 ZINC000169747956
CC(C)Oc1cc(B(O)O)ccc1Cl ZINC000169748016
CC(C)Oc1cncc(B(O)O)c1 ZINC000169748038
OB(O)c1cncc(OCc2ccccc2)c1 ZINC000169748053
COc1nccc(B(O)O)c1OC ZINC000169748076
CCOc1cncc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169748077
